blend_name,origin,variety,notes,intensifier,user_id,dt_current_timestamp
Melty America,"Sul Minas, Brazil",S288,"mild, coating, cinnamon, dill, dates",juicy,568bff29-540c-47b9-bf04-f312c690db9e,2024-01-17 00:03:38
Strong Forrester,"Mattari, Yemen",Red Bourbon,"astringent, tea-like, green grape, wheat, rubber",juicy,706f8888-eda7-4d14-b706-6a40babc726b,2024-01-17 00:03:38
The Blend,"Kigeyo Washing Station, Rwanda",Red Bourbon,"mild, coating, cinnamon, dill, dates",soft,98388fe6-55e9-4ba9-865f-b8c2ca280e26,2024-01-17 00:03:38
Strong Forrester,"Kigeyo Washing Station, Rwanda",Java,"astringent, tea-like, green grape, wheat, rubber",deep,0de055a5-c768-496d-8eed-23d488ec24d3,2024-01-17 00:03:38
Strong Forrester,"Kigeyo Washing Station, Rwanda",Java,"mild, coating, cinnamon, dill, dates",soft,5ed47a74-af32-487a-83b5-e53deb74e228,2024-01-17 00:03:38
American Volcano,"Mattari, Yemen",Pink Bourbon,"delicate, coating, sundried tomato, grapefruit, coriander",astringent,81ceee71-171e-4183-b14f-a085999b95cf,2024-01-17 00:03:38
Major Solstice,"Mount Elgon, Uganda",Pink Bourbon,"delicate, coating, sundried tomato, grapefruit, coriander",soft,2961e5d3-bf91-40e6-807d-0bfa497bc25f,2024-01-17 00:03:38
Melty America,"Mount Elgon, Uganda",Liberica,"astringent, tea-like, green grape, wheat, rubber",astringent,4086dfd4-02ef-4ba7-94ea-9dc879c99a99,2024-01-17 00:03:38
Strong Forrester,"Granada, Nicaragua",Java,"delicate, coating, sundried tomato, grapefruit, coriander",astringent,704ec9e4-532c-4982-9cb5-1ee52d53043b,2024-01-17 00:03:38
American Volcano,"Mount Elgon, Uganda",S288,"astringent, tea-like, green grape, wheat, rubber",pointed,7177d7de-ac7f-49cc-b215-06190d603c7e,2024-01-17 00:03:38
Melty America,"Mount Elgon, Uganda",S288,"astringent, tea-like, green grape, wheat, rubber",deep,c94bb83b-46f8-411f-b7eb-516121c47e44,2024-01-17 00:03:38
American Volcano,"Mount Elgon, Uganda",Red Bourbon,"mild, coating, cinnamon, dill, dates",soft,af7dccd9-1c2c-4c07-987a-5349ae6afd39,2024-01-17 00:03:38
The Blend,"Mount Elgon, Uganda",Java,"astringent, tea-like, toast, cacao nibs, barley",astringent,6329ec56-4b89-482c-92c4-9309ab0bd1fe,2024-01-17 00:03:38
The Blend,"Mount Elgon, Uganda",Pink Bourbon,"bright, velvety, liquorice, red currant, bakers chocolate",astringent,749247e9-a474-43ad-9025-b26324585d83,2024-01-17 00:03:38
Strong Forrester,"Mount Elgon, Uganda",S288,"delicate, coating, sundried tomato, grapefruit, coriander",soft,26b9e010-4a76-41a3-af42-580948c44418,2024-01-17 00:03:38
American Volcano,"Sul Minas, Brazil",Pink Bourbon,"bright, velvety, liquorice, red currant, bakers chocolate",astringent,78705796-0489-4697-b513-0965f3602263,2024-01-17 00:03:38
Strong Forrester,"Mattari, Yemen",Java,"mild, coating, cinnamon, dill, dates",deep,d5f2eb11-0713-4768-9d20-de503cbee934,2024-01-17 00:03:38
Major Solstice,"Kigeyo Washing Station, Rwanda",Pink Bourbon,"mild, coating, cinnamon, dill, dates",juicy,1fff39de-b264-4133-ae53-a3dc0427cbf5,2024-01-17 00:03:38
American Volcano,"Sul Minas, Brazil",S288,"astringent, tea-like, green grape, wheat, rubber",deep,a1372524-b62d-4702-b699-bea67cea9ec4,2024-01-17 00:03:38
American Volcano,"Mount Elgon, Uganda",Liberica,"delicate, coating, sundried tomato, grapefruit, coriander",juicy,113eb2a1-0b23-414b-8a66-0c044d14c874,2024-01-17 00:03:38
Major Solstice,"Sul Minas, Brazil",Pink Bourbon,"mild, coating, cinnamon, dill, dates",astringent,bd715ea6-579e-4994-bf9a-9d385f8d2fc1,2024-01-17 00:03:38
Strong Forrester,"Kigeyo Washing Station, Rwanda",Java,"astringent, tea-like, green grape, wheat, rubber",soft,886c3c98-f5d1-4075-9a56-7bc26eff3175,2024-01-17 00:03:38
American Volcano,"Kigeyo Washing Station, Rwanda",S288,"bright, velvety, liquorice, red currant, bakers chocolate",pointed,09f33338-6958-49fe-ac2d-873988b65737,2024-01-17 00:03:38
Strong Forrester,"Sul Minas, Brazil",Red Bourbon,"mild, coating, cinnamon, dill, dates",juicy,6e196d9d-ce4e-4249-a92f-11b470ccb5bd,2024-01-17 00:03:38
American Volcano,"Mount Elgon, Uganda",Pink Bourbon,"bright, velvety, liquorice, red currant, bakers chocolate",soft,8139f451-a0ae-4b44-b761-57b63d1edfb6,2024-01-17 00:03:38
Strong Forrester,"Granada, Nicaragua",Liberica,"delicate, coating, sundried tomato, grapefruit, coriander",pointed,d9d7cc0e-602c-4c2b-9a31-6bd88181be44,2024-01-17 00:03:38
Strong Forrester,"Granada, Nicaragua",Java,"bright, velvety, liquorice, red currant, bakers chocolate",deep,2990b7c1-a8b5-4183-839e-0decf8b2f005,2024-01-17 00:03:38
Strong Forrester,"Kigeyo Washing Station, Rwanda",Pink Bourbon,"mild, coating, cinnamon, dill, dates",deep,c21ad10f-9ac9-4293-a1e6-bb399a209537,2024-01-17 00:03:38
American Volcano,"Sul Minas, Brazil",Liberica,"delicate, coating, sundried tomato, grapefruit, coriander",deep,1ca68ca4-56d5-4b56-bf78-c89044511b72,2024-01-17 00:03:38
Strong Forrester,"Mount Elgon, Uganda",S288,"mild, coating, cinnamon, dill, dates",deep,ae5c5d83-c628-4d28-a7ab-a5e163ae3a67,2024-01-17 00:03:38
The Blend,"Mount Elgon, Uganda",S288,"astringent, tea-like, toast, cacao nibs, barley",soft,6f5a6928-5f8f-4a8c-a147-04721d24135b,2024-01-17 00:03:38
Strong Forrester,"Mount Elgon, Uganda",Red Bourbon,"bright, velvety, liquorice, red currant, bakers chocolate",pointed,703326fa-4ad9-459b-99e6-1508ae2b84c2,2024-01-17 00:03:38
American Volcano,"Kigeyo Washing Station, Rwanda",Liberica,"astringent, tea-like, toast, cacao nibs, barley",juicy,bfa3979f-e22e-4535-92fc-247ba46ab491,2024-01-17 00:03:38
Strong Forrester,"Granada, Nicaragua",Java,"astringent, tea-like, toast, cacao nibs, barley",deep,4682679c-ce2d-470b-ace3-a6b88e9cae85,2024-01-17 00:03:38
American Volcano,"Sul Minas, Brazil",Java,"delicate, coating, sundried tomato, grapefruit, coriander",astringent,7067c51e-70a5-4840-840d-0c0ed4c392b2,2024-01-17 00:03:38
The Blend,"Kigeyo Washing Station, Rwanda",Red Bourbon,"astringent, tea-like, green grape, wheat, rubber",soft,b0d6c280-7505-49ee-904d-d1092f21e766,2024-01-17 00:03:38
American Volcano,"Mattari, Yemen",Liberica,"bright, velvety, liquorice, red currant, bakers chocolate",astringent,06bf4d3e-3176-499b-9bfd-f32740eda5bf,2024-01-17 00:03:38
Melty America,"Sul Minas, Brazil",Liberica,"delicate, coating, sundried tomato, grapefruit, coriander",pointed,bde3ae6a-661c-4e4d-bfe5-8cd1c65bbde0,2024-01-17 00:03:38
Major Solstice,"Granada, Nicaragua",Liberica,"bright, velvety, liquorice, red currant, bakers chocolate",deep,1bceb9cc-7374-4ffd-8a83-c38f0b086462,2024-01-17 00:03:38
The Blend,"Kigeyo Washing Station, Rwanda",Pink Bourbon,"mild, coating, cinnamon, dill, dates",deep,86e1ad83-5406-462a-a218-eb9c0387e389,2024-01-17 00:03:38
American Volcano,"Mount Elgon, Uganda",Liberica,"mild, coating, cinnamon, dill, dates",juicy,f900cc36-16a4-4ce0-8bc3-f2521b2de1a5,2024-01-17 00:03:38
Melty America,"Granada, Nicaragua",S288,"mild, coating, cinnamon, dill, dates",pointed,d5a98ca5-9a49-42bc-9fc8-41536275e817,2024-01-17 00:03:38
Melty America,"Granada, Nicaragua",Java,"mild, coating, cinnamon, dill, dates",soft,f60ab51b-b22e-4ee5-b6ea-d252deeb4aff,2024-01-17 00:03:38
Strong Forrester,"Sul Minas, Brazil",S288,"mild, coating, cinnamon, dill, dates",juicy,12368214-1070-4a9b-a0d1-fb75ef0643f5,2024-01-17 00:03:38
Major Solstice,"Granada, Nicaragua",Pink Bourbon,"mild, coating, cinnamon, dill, dates",astringent,de77568f-9296-4715-ae5b-6eba3a403218,2024-01-17 00:03:38
The Blend,"Sul Minas, Brazil",Liberica,"bright, velvety, liquorice, red currant, bakers chocolate",juicy,28050e9f-bc4c-4fd8-a6cf-b778c2f2a85e,2024-01-17 00:03:38
The Blend,"Mount Elgon, Uganda",Liberica,"bright, velvety, liquorice, red currant, bakers chocolate",soft,dd3ff1e6-19a6-49c2-a6d4-2f77ca7fd338,2024-01-17 00:03:38
Major Solstice,"Mount Elgon, Uganda",S288,"astringent, tea-like, toast, cacao nibs, barley",soft,edc8bb86-1c9f-4a4b-8441-5404e01b8f57,2024-01-17 00:03:38
American Volcano,"Kigeyo Washing Station, Rwanda",S288,"delicate, coating, sundried tomato, grapefruit, coriander",pointed,477b42c2-0655-464b-9a5c-8cc89ee2f625,2024-01-17 00:03:38
The Blend,"Kigeyo Washing Station, Rwanda",Red Bourbon,"mild, coating, cinnamon, dill, dates",astringent,56c5a893-1732-47a4-9c35-a900eaa216f9,2024-01-17 00:03:38
Major Solstice,"Kigeyo Washing Station, Rwanda",Pink Bourbon,"astringent, tea-like, green grape, wheat, rubber",soft,4b391fa1-534e-46d8-b736-79483ddaff5b,2024-01-17 00:03:38
The Blend,"Mattari, Yemen",Pink Bourbon,"bright, velvety, liquorice, red currant, bakers chocolate",soft,cd7bb2eb-2aa3-4389-ba1c-83615ea89a0e,2024-01-17 00:03:38
Major Solstice,"Sul Minas, Brazil",Pink Bourbon,"delicate, coating, sundried tomato, grapefruit, coriander",astringent,a2680863-d510-41a2-b1ef-4d6d3321f983,2024-01-17 00:03:38
American Volcano,"Mattari, Yemen",Red Bourbon,"bright, velvety, liquorice, red currant, bakers chocolate",deep,5f219ad2-8173-444a-bcbc-3f08fa60501d,2024-01-17 00:03:38
Melty America,"Mattari, Yemen",Java,"bright, velvety, liquorice, red currant, bakers chocolate",deep,523a8407-2604-4ad2-94d8-4cb25ea6344b,2024-01-17 00:03:38
American Volcano,"Mattari, Yemen",Pink Bourbon,"delicate, coating, sundried tomato, grapefruit, coriander",astringent,6eb0224a-a94b-43c0-8124-ec84b0d594f6,2024-01-17 00:03:38
Melty America,"Granada, Nicaragua",Pink Bourbon,"bright, velvety, liquorice, red currant, bakers chocolate",pointed,f29f2ff3-6838-4ecc-8d0d-417180d24b57,2024-01-17 00:03:38
American Volcano,"Kigeyo Washing Station, Rwanda",Java,"bright, velvety, liquorice, red currant, bakers chocolate",soft,577a9b0a-b27b-4450-8112-d340761192d8,2024-01-17 00:03:38
Strong Forrester,"Kigeyo Washing Station, Rwanda",Red Bourbon,"delicate, coating, sundried tomato, grapefruit, coriander",deep,408b9a52-345a-4c33-868c-c84b7c3e799c,2024-01-17 00:03:38
American Volcano,"Kigeyo Washing Station, Rwanda",Pink Bourbon,"mild, coating, cinnamon, dill, dates",pointed,5c188abc-cc87-45c0-b98e-bcfacb81944a,2024-01-17 00:03:38
Melty America,"Mattari, Yemen",Java,"astringent, tea-like, toast, cacao nibs, barley",deep,0337ec9f-f54a-4acd-86e6-7e43f46a1466,2024-01-17 00:03:38
The Blend,"Granada, Nicaragua",Liberica,"bright, velvety, liquorice, red currant, bakers chocolate",juicy,53415a3b-618b-40bb-8367-618695f619ed,2024-01-17 00:03:38
Major Solstice,"Mount Elgon, Uganda",Liberica,"astringent, tea-like, toast, cacao nibs, barley",juicy,59c38f5d-a278-4410-b0cc-37d51f73184e,2024-01-17 00:03:38
American Volcano,"Kigeyo Washing Station, Rwanda",Liberica,"mild, coating, cinnamon, dill, dates",deep,978a7ad3-4268-41cc-beba-26e63da85531,2024-01-17 00:03:38
Strong Forrester,"Mattari, Yemen",Java,"astringent, tea-like, toast, cacao nibs, barley",astringent,f1f7fd25-5eb1-42aa-99fb-b4bc3e08a662,2024-01-17 00:03:38
Melty America,"Kigeyo Washing Station, Rwanda",Pink Bourbon,"astringent, tea-like, green grape, wheat, rubber",astringent,509db23e-1bbb-4896-b041-6d28e249f9c0,2024-01-17 00:03:38
Melty America,"Mattari, Yemen",Red Bourbon,"delicate, coating, sundried tomato, grapefruit, coriander",deep,5456195f-f2f2-418a-83e0-69db714bb334,2024-01-17 00:03:38
Strong Forrester,"Mattari, Yemen",Pink Bourbon,"astringent, tea-like, toast, cacao nibs, barley",astringent,19021fb4-ec44-42fc-b6f2-ea7c1ac7caab,2024-01-17 00:03:38
American Volcano,"Granada, Nicaragua",S288,"delicate, coating, sundried tomato, grapefruit, coriander",soft,7c4d2d35-ac4f-4f41-9a03-427c8e66764b,2024-01-17 00:03:38
Major Solstice,"Sul Minas, Brazil",Java,"delicate, coating, sundried tomato, grapefruit, coriander",juicy,ba84ea30-88fc-4ffe-b7bb-93a646e1e30b,2024-01-17 00:03:38
The Blend,"Mattari, Yemen",Liberica,"astringent, tea-like, green grape, wheat, rubber",pointed,9629a859-58c6-45a3-9bc1-04005ee967c0,2024-01-17 00:03:38
Strong Forrester,"Mount Elgon, Uganda",Java,"delicate, coating, sundried tomato, grapefruit, coriander",pointed,a0db50a9-50b1-49ef-9970-8e3acebb5038,2024-01-17 00:03:38
The Blend,"Mattari, Yemen",Red Bourbon,"astringent, tea-like, toast, cacao nibs, barley",soft,9913c122-4d0a-4cf1-acf4-cf454bc47c67,2024-01-17 00:03:38
