blend_name,origin,variety,notes,intensifier,user_id,dt_current_timestamp
Major Solstice,"Mount Elgon, Uganda",Pink Bourbon,"bright, velvety, liquorice, red currant, bakers chocolate",deep,d50468f0-b34d-4c9f-8967-b3c955d69f4d,2024-01-17 00:03:38
Major Solstice,"Kigeyo Washing Station, Rwanda",Pink Bourbon,"bright, velvety, liquorice, red currant, bakers chocolate",pointed,ca5e9370-6fe5-4814-afea-9bdcc5e0f9c1,2024-01-17 00:03:38
Major Solstice,"Granada, Nicaragua",Java,"bright, velvety, liquorice, red currant, bakers chocolate",juicy,45f283fc-589c-41a6-9e7a-493a6ce70ab9,2024-01-17 00:03:38
The Blend,"Mount Elgon, Uganda",Java,"delicate, coating, sundried tomato, grapefruit, coriander",soft,835d9f2d-70ee-4636-8193-ac1567ccf3d6,2024-01-17 00:03:38
Major Solstice,"Mount Elgon, Uganda",S288,"mild, coating, cinnamon, dill, dates",astringent,ce60ae86-6ba3-454e-8ee4-769c7b51b8f6,2024-01-17 00:03:38
Strong Forrester,"Granada, Nicaragua",Pink Bourbon,"mild, coating, cinnamon, dill, dates",astringent,7590b474-617c-4de5-8340-c8d1ba524ead,2024-01-17 00:03:38
Strong Forrester,"Mount Elgon, Uganda",Liberica,"delicate, coating, sundried tomato, grapefruit, coriander",astringent,912510c3-b8d7-4ab3-8c47-1a27849c56a9,2024-01-17 00:03:38
American Volcano,"Granada, Nicaragua",Java,"delicate, coating, sundried tomato, grapefruit, coriander",astringent,cdb02f64-618c-4476-9312-ebba41c1af73,2024-01-17 00:03:38
Melty America,"Sul Minas, Brazil",Liberica,"bright, velvety, liquorice, red currant, bakers chocolate",astringent,82181457-bcfb-497e-b488-b389e03e0e7c,2024-01-17 00:03:38
Strong Forrester,"Mount Elgon, Uganda",Liberica,"astringent, tea-like, toast, cacao nibs, barley",pointed,295245a7-995c-4d42-b999-73d8971430fd,2024-01-17 00:03:38
American Volcano,"Mount Elgon, Uganda",Liberica,"mild, coating, cinnamon, dill, dates",juicy,b15abf57-30b6-4ee1-810d-80da94102743,2024-01-17 00:03:38
The Blend,"Mount Elgon, Uganda",Pink Bourbon,"mild, coating, cinnamon, dill, dates",pointed,c26209a7-2fdc-451a-be7f-93e9f16c3ff6,2024-01-17 00:03:38
Melty America,"Kigeyo Washing Station, Rwanda",Java,"mild, coating, cinnamon, dill, dates",deep,016994b9-81b3-43bb-89c2-ad7b7ca618fb,2024-01-17 00:03:38
Major Solstice,"Sul Minas, Brazil",S288,"astringent, tea-like, green grape, wheat, rubber",astringent,fdeb734d-1d9f-4e6a-8b40-be31107058cc,2024-01-17 00:03:38
Melty America,"Kigeyo Washing Station, Rwanda",Pink Bourbon,"astringent, tea-like, green grape, wheat, rubber",pointed,0923af98-d7fe-4c1f-a709-0277141ca13a,2024-01-17 00:03:38
Melty America,"Mattari, Yemen",Liberica,"astringent, tea-like, green grape, wheat, rubber",juicy,15f26fb1-7eb6-4e65-abac-237c7c3ad0ac,2024-01-17 00:03:38
American Volcano,"Granada, Nicaragua",Pink Bourbon,"delicate, coating, sundried tomato, grapefruit, coriander",astringent,758a6310-8614-4f59-9840-1f6af29f1370,2024-01-17 00:03:38
The Blend,"Sul Minas, Brazil",Liberica,"delicate, coating, sundried tomato, grapefruit, coriander",juicy,749ccb51-c9d5-4ac3-9f54-f48aad27e001,2024-01-17 00:03:38
American Volcano,"Mattari, Yemen",Liberica,"bright, velvety, liquorice, red currant, bakers chocolate",pointed,c3129008-781d-473a-ac4f-8e47a0187998,2024-01-17 00:03:38
Melty America,"Kigeyo Washing Station, Rwanda",Pink Bourbon,"mild, coating, cinnamon, dill, dates",juicy,71df473c-4fb2-4df8-9c8e-1842ed7920ef,2024-01-17 00:03:38
Melty America,"Mount Elgon, Uganda",S288,"astringent, tea-like, green grape, wheat, rubber",deep,9e567f96-c066-47e6-b433-30b5e305e000,2024-01-17 00:03:38
American Volcano,"Sul Minas, Brazil",Red Bourbon,"delicate, coating, sundried tomato, grapefruit, coriander",soft,6714133d-2bb6-4765-8db5-d4b8a4f091b7,2024-01-17 00:03:38
Major Solstice,"Kigeyo Washing Station, Rwanda",Pink Bourbon,"mild, coating, cinnamon, dill, dates",juicy,81315103-c5af-4e06-be4c-3b3383dade3e,2024-01-17 00:03:38
American Volcano,"Granada, Nicaragua",Pink Bourbon,"astringent, tea-like, green grape, wheat, rubber",astringent,4c0c21d0-7127-4223-98d3-9880b7731f80,2024-01-17 00:03:38
Strong Forrester,"Mount Elgon, Uganda",Red Bourbon,"mild, coating, cinnamon, dill, dates",pointed,9966fa29-71c3-4e3a-87f2-1d31c63c6ba2,2024-01-17 00:03:38
Melty America,"Sul Minas, Brazil",Java,"delicate, coating, sundried tomato, grapefruit, coriander",pointed,0205c23e-4fac-4d32-a21c-38899666028c,2024-01-17 00:03:38
The Blend,"Granada, Nicaragua",Liberica,"bright, velvety, liquorice, red currant, bakers chocolate",soft,65a72509-c9f4-466e-bee6-abb194f9bf41,2024-01-17 00:03:38
The Blend,"Granada, Nicaragua",Pink Bourbon,"astringent, tea-like, green grape, wheat, rubber",pointed,0db4e14a-1a61-47ba-9df7-05a0a1ea719a,2024-01-17 00:03:38
Melty America,"Kigeyo Washing Station, Rwanda",Liberica,"mild, coating, cinnamon, dill, dates",pointed,40071839-649d-4b22-b5d9-a84d02251bbc,2024-01-17 00:03:38
Major Solstice,"Kigeyo Washing Station, Rwanda",Red Bourbon,"bright, velvety, liquorice, red currant, bakers chocolate",pointed,78c5276f-b723-43ee-9d44-1761797e7db8,2024-01-17 00:03:38
Melty America,"Mount Elgon, Uganda",Pink Bourbon,"astringent, tea-like, toast, cacao nibs, barley",soft,0fc4aae2-1ea9-4820-8445-da1208e79f5c,2024-01-17 00:03:38
Strong Forrester,"Sul Minas, Brazil",Pink Bourbon,"astringent, tea-like, green grape, wheat, rubber",juicy,0c9549c3-22f4-409c-a05f-da17a50e59e6,2024-01-17 00:03:38
American Volcano,"Sul Minas, Brazil",S288,"astringent, tea-like, green grape, wheat, rubber",deep,bc757163-4d07-4fe0-b8ba-de2bbac81d6c,2024-01-17 00:03:38
Major Solstice,"Mattari, Yemen",Liberica,"astringent, tea-like, green grape, wheat, rubber",juicy,f12dd834-74ac-4518-b14e-0936fbdd9b34,2024-01-17 00:03:38
Major Solstice,"Mount Elgon, Uganda",S288,"astringent, tea-like, toast, cacao nibs, barley",astringent,f4e640d8-8cf4-499d-bd2d-3e0bcd5221be,2024-01-17 00:03:38
Melty America,"Mattari, Yemen",S288,"delicate, coating, sundried tomato, grapefruit, coriander",deep,f6ad3044-8c62-482a-a58c-3a165a9370e3,2024-01-17 00:03:38
Strong Forrester,"Kigeyo Washing Station, Rwanda",Liberica,"delicate, coating, sundried tomato, grapefruit, coriander",deep,490b6bfb-84cf-4995-9a2a-861f19ddac21,2024-01-17 00:03:38
The Blend,"Kigeyo Washing Station, Rwanda",Red Bourbon,"delicate, coating, sundried tomato, grapefruit, coriander",astringent,2f727d96-92a5-4650-84a0-9ae566c51313,2024-01-17 00:03:38
American Volcano,"Granada, Nicaragua",Red Bourbon,"mild, coating, cinnamon, dill, dates",pointed,d8d7ec34-548e-4a39-bf85-3bd329592e70,2024-01-17 00:03:38
Major Solstice,"Mount Elgon, Uganda",Liberica,"mild, coating, cinnamon, dill, dates",pointed,b646d32b-2179-4c95-a15d-10af31296143,2024-01-17 00:03:38
Melty America,"Sul Minas, Brazil",Pink Bourbon,"bright, velvety, liquorice, red currant, bakers chocolate",deep,da5ef7c1-5c6f-4de3-869b-733dd2ae6b40,2024-01-17 00:03:38
Major Solstice,"Sul Minas, Brazil",Pink Bourbon,"astringent, tea-like, toast, cacao nibs, barley",soft,a2326068-abed-4b99-b094-e157f9784528,2024-01-17 00:03:38
Strong Forrester,"Sul Minas, Brazil",Pink Bourbon,"astringent, tea-like, toast, cacao nibs, barley",pointed,ffcc2927-fe12-4ee9-af98-b5824ff74abc,2024-01-17 00:03:38
Major Solstice,"Mount Elgon, Uganda",Java,"astringent, tea-like, toast, cacao nibs, barley",pointed,643f6cb3-80db-4a6e-a986-7937e71bacf3,2024-01-17 00:03:38
American Volcano,"Granada, Nicaragua",Pink Bourbon,"mild, coating, cinnamon, dill, dates",soft,f30451be-fdde-448c-afc4-324a68325073,2024-01-17 00:03:38
American Volcano,"Mattari, Yemen",S288,"delicate, coating, sundried tomato, grapefruit, coriander",deep,124b6452-24e0-46de-81c6-b3b8be0ecc10,2024-01-17 00:03:38
The Blend,"Kigeyo Washing Station, Rwanda",S288,"astringent, tea-like, green grape, wheat, rubber",astringent,db112527-42d4-4f3f-b742-58a1b95659a1,2024-01-17 00:03:38
Melty America,"Granada, Nicaragua",Liberica,"delicate, coating, sundried tomato, grapefruit, coriander",deep,b0bb31fb-9f6b-4ecb-a619-305a3ebb9740,2024-01-17 00:03:38
The Blend,"Mattari, Yemen",Java,"delicate, coating, sundried tomato, grapefruit, coriander",deep,3164f199-08ad-4f88-a64c-f5660ff52cc9,2024-01-17 00:03:38
Melty America,"Granada, Nicaragua",Pink Bourbon,"astringent, tea-like, toast, cacao nibs, barley",pointed,e494f3a1-3d8c-4e9c-a935-92322f2f701b,2024-01-17 00:03:38
The Blend,"Kigeyo Washing Station, Rwanda",Java,"astringent, tea-like, toast, cacao nibs, barley",pointed,25a19485-8cd6-4a5a-9a86-a883d17c5a7d,2024-01-17 00:03:38
Melty America,"Mount Elgon, Uganda",S288,"bright, velvety, liquorice, red currant, bakers chocolate",juicy,d109c1c2-15a1-4429-a833-97547e725e3c,2024-01-17 00:03:38
Melty America,"Mattari, Yemen",Java,"astringent, tea-like, toast, cacao nibs, barley",astringent,589a5336-e401-4b95-ae4b-dc48f8003284,2024-01-17 00:03:38
Melty America,"Sul Minas, Brazil",Java,"bright, velvety, liquorice, red currant, bakers chocolate",astringent,59e0c81a-f19b-40ce-a7b9-4b1eca38a622,2024-01-17 00:03:38
Major Solstice,"Mount Elgon, Uganda",Red Bourbon,"astringent, tea-like, green grape, wheat, rubber",deep,1baf9859-87ea-4f52-9f29-d4da117c3ab6,2024-01-17 00:03:38
Strong Forrester,"Mattari, Yemen",S288,"mild, coating, cinnamon, dill, dates",astringent,62bd6333-219e-471a-a43a-ed770713e6e8,2024-01-17 00:03:38
Melty America,"Granada, Nicaragua",S288,"astringent, tea-like, toast, cacao nibs, barley",pointed,f84dc086-79c4-447f-893e-9b4d2d3ba031,2024-01-17 00:03:38
American Volcano,"Granada, Nicaragua",Liberica,"delicate, coating, sundried tomato, grapefruit, coriander",astringent,3ac4508d-f00a-431a-a548-dde089a06c1f,2024-01-17 00:03:38
American Volcano,"Kigeyo Washing Station, Rwanda",Java,"delicate, coating, sundried tomato, grapefruit, coriander",pointed,9bb2b53c-6e07-466c-9202-2842e1999ad9,2024-01-17 00:03:38
Strong Forrester,"Granada, Nicaragua",Java,"astringent, tea-like, toast, cacao nibs, barley",soft,98f2fabc-f989-4bd1-af68-8456e04645ee,2024-01-17 00:03:38
Melty America,"Sul Minas, Brazil",Java,"bright, velvety, liquorice, red currant, bakers chocolate",astringent,2af54acc-4cb4-47bc-9ee2-4070d95288ea,2024-01-17 00:03:38
Major Solstice,"Mount Elgon, Uganda",Java,"astringent, tea-like, toast, cacao nibs, barley",pointed,eb42f705-f065-403e-9318-9964ffd0021e,2024-01-17 00:03:38
American Volcano,"Granada, Nicaragua",Pink Bourbon,"astringent, tea-like, green grape, wheat, rubber",soft,1a1caa0f-05ef-42e2-85e1-eafa52943e62,2024-01-17 00:03:38
The Blend,"Granada, Nicaragua",S288,"delicate, coating, sundried tomato, grapefruit, coriander",pointed,bee9ed1f-5f76-4978-9d63-862b95fa3b59,2024-01-17 00:03:38
Melty America,"Kigeyo Washing Station, Rwanda",Java,"mild, coating, cinnamon, dill, dates",pointed,2d87a057-1c60-43ac-83ee-922f9dadb526,2024-01-17 00:03:38
Strong Forrester,"Granada, Nicaragua",S288,"mild, coating, cinnamon, dill, dates",deep,c018a098-f916-41aa-aaa8-46145c9b969b,2024-01-17 00:03:38
The Blend,"Granada, Nicaragua",S288,"mild, coating, cinnamon, dill, dates",deep,5297fd80-457d-4287-b0ca-a2e319e0e36a,2024-01-17 00:03:38
The Blend,"Kigeyo Washing Station, Rwanda",Red Bourbon,"delicate, coating, sundried tomato, grapefruit, coriander",juicy,265cfb47-fac9-454f-853c-b931fe336b17,2024-01-17 00:03:38
American Volcano,"Kigeyo Washing Station, Rwanda",Java,"astringent, tea-like, green grape, wheat, rubber",pointed,47fcf337-c1a4-4fdd-8931-92b05329cc7f,2024-01-17 00:03:38
The Blend,"Kigeyo Washing Station, Rwanda",Red Bourbon,"bright, velvety, liquorice, red currant, bakers chocolate",deep,186597e5-119c-4e99-9173-6b6781a2d864,2024-01-17 00:03:38
Major Solstice,"Mattari, Yemen",Pink Bourbon,"astringent, tea-like, toast, cacao nibs, barley",pointed,86d35c05-2901-4bca-a5ad-9c6658db9be0,2024-01-17 00:03:38
Strong Forrester,"Granada, Nicaragua",Pink Bourbon,"bright, velvety, liquorice, red currant, bakers chocolate",soft,5473fcd7-03d6-4d3d-86e3-babddea68183,2024-01-17 00:03:38
Major Solstice,"Kigeyo Washing Station, Rwanda",Liberica,"astringent, tea-like, green grape, wheat, rubber",deep,d0f6cbf3-2829-43f7-a212-6479c44cc3fe,2024-01-17 00:03:38
American Volcano,"Sul Minas, Brazil",Java,"astringent, tea-like, toast, cacao nibs, barley",pointed,89cde4a9-db65-46e1-a91a-640b4e166b65,2024-01-17 00:03:38
American Volcano,"Kigeyo Washing Station, Rwanda",S288,"delicate, coating, sundried tomato, grapefruit, coriander",juicy,710a1182-6028-45f3-956a-a7a83d3dde98,2024-01-17 00:03:38
The Blend,"Sul Minas, Brazil",Pink Bourbon,"mild, coating, cinnamon, dill, dates",soft,a10c5c14-daee-4a7f-9410-9aec06a7c2dc,2024-01-17 00:03:38
American Volcano,"Kigeyo Washing Station, Rwanda",Java,"astringent, tea-like, toast, cacao nibs, barley",pointed,675ebb8d-2d88-4c4a-9513-75317300edce,2024-01-17 00:03:38
American Volcano,"Mattari, Yemen",Java,"astringent, tea-like, toast, cacao nibs, barley",soft,806b01bd-3742-489a-a371-17c4db386e5d,2024-01-17 00:03:38
American Volcano,"Sul Minas, Brazil",Red Bourbon,"astringent, tea-like, green grape, wheat, rubber",soft,1364378e-9e97-4db0-8f8c-830bee169e0d,2024-01-17 00:03:38
Major Solstice,"Granada, Nicaragua",S288,"astringent, tea-like, green grape, wheat, rubber",soft,c2da8fc6-7caa-4af7-8e9b-8736ac9728bc,2024-01-17 00:03:38
