brand,name,style,hop,yeast,malts,ibu,alcohol,blg,user_id,dt_current_timestamp
Carlsberg,Pale Ale,Sour Ale,Saaz,WLP001 - California Ale,Chocolate,34 IBU,8.7%,18.1°Blg,3c591c15-ce7c-493c-b7dc-82789e20ae0a,2026-03-05 09:25:34
Guinness,Pale Ale,Session IPA,Saaz,S04 - English Ale,Munich,47 IBU,5.9%,14.4°Blg,73a0ea21-152b-45a8-85be-a84e21074c43,2026-03-05 09:25:34
Brewdog,Lager,Strong Ale,Saaz,1056 - American Ale,Chocolate,40 IBU,7.6%,13.8°Blg,486024df-b73a-4e04-83e9-04cd294f74ee,2026-03-05 09:25:34
Guinness,Pilsner,Strong Ale,Galaxy,W34/70 - Lager,Victory,22 IBU,7.8%,14.6°Blg,d96f4f7e-5392-49d9-8882-c131b3a709b9,2026-03-05 09:25:34
Brewdog,Pale Ale,Belgian Dubbel,Galaxy,W34/70 - Lager,Chocolate,27 IBU,4.1%,15.9°Blg,dd40adcc-f80f-4723-be8d-5c4241a6428e,2026-03-05 09:25:34
Guinness,Porter,Belgian Dubbel,Galaxy,S04 - English Ale,Victory,58 IBU,4.9%,13.6°Blg,d81100b8-5d08-49aa-ae66-e9e727415c31,2026-03-05 09:25:34
Carlsberg,Lager,Wheat Beer,Millennium,W34/70 - Lager,Pilsner,47 IBU,6.6%,13.1°Blg,507bd1e6-20b5-4f35-9737-10bf6eb30eca,2026-03-05 09:25:34
Brewdog,Imperial Stout,Belgian Dubbel,Galaxy,1388 - Belgian Strong Ale,Chocolate,60 IBU,4.8%,10.5°Blg,612bb4c3-b761-42e8-b05f-3ae10d3b7d7a,2026-03-05 09:25:34
Carlsberg,Pilsner,Session IPA,Saaz,WLP001 - California Ale,Chocolate,27 IBU,6.8%,19.1°Blg,0dc91a20-4585-4c42-bac7-23599b925adb,2026-03-05 09:25:34
Heineken,Lager,Strong Ale,Millennium,W34/70 - Lager,Pilsner,38 IBU,5.9%,16.8°Blg,08a6b958-e166-42ed-ab67-0a3b5ef483a9,2026-03-05 09:25:34
Guinness,Pilsner,Strong Ale,Mosaic,WLP001 - California Ale,Caramel,38 IBU,5.6%,14.0°Blg,72425952-5017-444c-9a03-9501bf08a79e,2026-03-05 09:25:34
Carlsberg,Porter,Strong Ale,Galaxy,1388 - Belgian Strong Ale,Munich,69 IBU,5.8%,10.8°Blg,a934dd69-5c61-4909-9736-c9c660f8ec57,2026-03-05 09:25:34
Guinness,Porter,Strong Ale,Millennium,S04 - English Ale,Munich,61 IBU,7.9%,19.3°Blg,623b26b0-70b2-40f2-988f-6de06326788a,2026-03-05 09:25:34
Heineken,Pilsner,Session IPA,Saaz,WLP001 - California Ale,Chocolate,44 IBU,6.9%,13.5°Blg,d0804c26-558d-4ddb-a9f6-e8f30e902eed,2026-03-05 09:25:34
Carlsberg,Porter,Session IPA,Millennium,1056 - American Ale,Caramel,25 IBU,5.2%,15.9°Blg,222afd38-7642-460e-aa22-f1a1561c5b72,2026-03-05 09:25:34
Budweiser,Porter,Session IPA,Cascade,1056 - American Ale,Caramel,65 IBU,4.2%,16.0°Blg,f9af01f8-c787-4a38-8735-7da775844621,2026-03-05 09:25:34
Carlsberg,Imperial Stout,Wheat Beer,Mosaic,S04 - English Ale,Pilsner,58 IBU,4.1%,10.2°Blg,374aef95-904a-4551-b5bd-ce6e20ce6333,2026-03-05 09:25:34
Budweiser,Pale Ale,Sour Ale,Saaz,WLP001 - California Ale,Caramel,66 IBU,9.5%,11.9°Blg,9f9444a8-99dd-47c6-88c0-acbf9e364dd9,2026-03-05 09:25:34
Guinness,Lager,Wheat Beer,Mosaic,W34/70 - Lager,Victory,25 IBU,9.5%,13.6°Blg,09432377-abc0-4b90-ac7d-5fe798f5325a,2026-03-05 09:25:34
Brewdog,Lager,Belgian Dubbel,Cascade,1056 - American Ale,Chocolate,63 IBU,6.5%,10.0°Blg,7b720d00-4e53-4059-95c3-f414e572cd7b,2026-03-05 09:25:34
Heineken,Pilsner,Belgian Dubbel,Galaxy,1388 - Belgian Strong Ale,Pilsner,46 IBU,6.1%,15.7°Blg,f98c669a-4d22-4f55-9c7f-33735ec3c93e,2026-03-05 09:25:34
Budweiser,Imperial Stout,Belgian Dubbel,Saaz,W34/70 - Lager,Victory,69 IBU,8.1%,16.3°Blg,bd2a5f50-e772-43c8-9b02-bb3eca3d28d5,2026-03-05 09:25:34
Budweiser,Imperial Stout,Strong Ale,Galaxy,W34/70 - Lager,Munich,52 IBU,8.2%,10.2°Blg,103edd2f-2e58-4b2e-84db-aab374e807a7,2026-03-05 09:25:34
Guinness,Porter,Strong Ale,Galaxy,1056 - American Ale,Victory,37 IBU,5.9%,16.8°Blg,f7d27b4a-d06f-4dc8-9d72-da0fc5c9199b,2026-03-05 09:25:34
Heineken,Lager,Wheat Beer,Cascade,S04 - English Ale,Chocolate,29 IBU,8.7%,19.7°Blg,3d428c42-03fe-4a2a-aaef-a6c765378f3e,2026-03-05 09:25:34
Guinness,Imperial Stout,Session IPA,Millennium,1388 - Belgian Strong Ale,Chocolate,46 IBU,9.1%,13.4°Blg,b9f78e55-fd72-4d55-9905-9bd819536fe1,2026-03-05 09:25:34
Guinness,Lager,Wheat Beer,Saaz,1388 - Belgian Strong Ale,Victory,46 IBU,5.7%,17.5°Blg,226cab3e-da5b-475c-808c-ef895c4cdbe3,2026-03-05 09:25:34
Carlsberg,Imperial Stout,Strong Ale,Cascade,W34/70 - Lager,Chocolate,30 IBU,6.5%,15.6°Blg,62e2b3ef-2f01-4477-a2f5-df6e11ac13f7,2026-03-05 09:25:34
Brewdog,Pale Ale,Strong Ale,Saaz,1388 - Belgian Strong Ale,Chocolate,50 IBU,7.4%,13.2°Blg,4c1b050b-0a43-4206-b5a2-5d6ea9792cd1,2026-03-05 09:25:34
Heineken,Pilsner,Wheat Beer,Millennium,1056 - American Ale,Victory,67 IBU,8.8%,16.7°Blg,40026c3e-47de-4552-b038-b903f13695d1,2026-03-05 09:25:34
Brewdog,Imperial Stout,Wheat Beer,Saaz,WLP001 - California Ale,Caramel,70 IBU,9.4%,13.5°Blg,a356149f-d501-4c68-b6a6-4f0fb173342f,2026-03-05 09:25:34
Carlsberg,Pale Ale,Sour Ale,Saaz,S04 - English Ale,Victory,37 IBU,8.6%,19.4°Blg,1dc7df52-1476-4a05-b126-2efb6e9ff336,2026-03-05 09:25:34
Heineken,Pale Ale,Wheat Beer,Galaxy,S04 - English Ale,Munich,38 IBU,4.8%,15.7°Blg,e7356ef6-474d-4859-9e30-314fc50fe3a1,2026-03-05 09:25:34
Brewdog,Lager,Strong Ale,Cascade,1388 - Belgian Strong Ale,Munich,33 IBU,5.7%,16.1°Blg,b430d924-c960-4371-9fd1-bda42533b330,2026-03-05 09:25:34
Budweiser,Pilsner,Session IPA,Millennium,S04 - English Ale,Chocolate,54 IBU,8.2%,14.4°Blg,95f310d6-d9e7-42c9-8667-fbe35814a630,2026-03-05 09:25:34
Budweiser,Imperial Stout,Wheat Beer,Galaxy,WLP001 - California Ale,Victory,64 IBU,5.7%,12.6°Blg,00ae9fb8-88ed-425d-925e-40b725aa44ed,2026-03-05 09:25:34
Carlsberg,Porter,Wheat Beer,Saaz,1056 - American Ale,Pilsner,34 IBU,9.8%,10.8°Blg,82c56d5e-8402-46a4-99a8-c8f03017ff06,2026-03-05 09:25:34
Brewdog,Lager,Strong Ale,Saaz,S04 - English Ale,Munich,51 IBU,9.2%,18.5°Blg,4aa35d81-7a60-489a-884c-05e7fa357b42,2026-03-05 09:25:34
Heineken,Porter,Sour Ale,Saaz,S04 - English Ale,Caramel,45 IBU,4.9%,11.3°Blg,5a0cca12-4d0d-4412-99f5-de4c30ce1feb,2026-03-05 09:25:34
Carlsberg,Lager,Strong Ale,Mosaic,1388 - Belgian Strong Ale,Pilsner,45 IBU,9.5%,18.7°Blg,e0bed7d8-187e-4da4-b0ab-601d9cbef2d4,2026-03-05 09:25:34
Guinness,Lager,Sour Ale,Galaxy,WLP001 - California Ale,Chocolate,68 IBU,5.6%,19.2°Blg,c4ba72f8-9b0f-47cb-826d-b96b711efc6e,2026-03-05 09:25:34
Heineken,Imperial Stout,Sour Ale,Millennium,WLP001 - California Ale,Victory,52 IBU,4.6%,18.1°Blg,6ad37f12-7312-413f-9e0b-27ae9ed2898a,2026-03-05 09:25:34
Brewdog,Porter,Session IPA,Millennium,WLP001 - California Ale,Munich,27 IBU,8.6%,10.5°Blg,335443da-ead8-4e9f-84da-758477fc3a9b,2026-03-05 09:25:34
Brewdog,Imperial Stout,Sour Ale,Galaxy,W34/70 - Lager,Munich,38 IBU,7.1%,18.0°Blg,2166c9fa-d367-4a8f-a4af-274f6a275510,2026-03-05 09:25:34
Guinness,Lager,Sour Ale,Saaz,1056 - American Ale,Pilsner,34 IBU,8.3%,11.5°Blg,b855733d-0dd0-4c0e-b6e7-3097d60b9cfe,2026-03-05 09:25:34
Guinness,Porter,Strong Ale,Saaz,1056 - American Ale,Munich,28 IBU,5.6%,14.1°Blg,f6903ec5-3f47-4970-9f16-94bd02795429,2026-03-05 09:25:34
Guinness,Imperial Stout,Belgian Dubbel,Cascade,W34/70 - Lager,Chocolate,45 IBU,6.3%,18.0°Blg,8182bcc5-34e0-4c09-a199-05c45c697743,2026-03-05 09:25:34
Guinness,Lager,Belgian Dubbel,Mosaic,1388 - Belgian Strong Ale,Caramel,50 IBU,5.0%,18.9°Blg,0a13486c-4820-4ecf-b5db-3486b6d33ad9,2026-03-05 09:25:34
Heineken,Porter,Strong Ale,Cascade,S04 - English Ale,Chocolate,32 IBU,8.7%,15.7°Blg,ba6576a0-9ff7-41a8-8c91-99afbe07e5b8,2026-03-05 09:25:34
Brewdog,Pilsner,Sour Ale,Mosaic,1388 - Belgian Strong Ale,Munich,54 IBU,9.3%,19.5°Blg,7c5007a6-bc7a-4c0f-8daf-d70b3b805788,2026-03-05 09:25:34
Budweiser,Imperial Stout,Belgian Dubbel,Cascade,1056 - American Ale,Pilsner,56 IBU,6.8%,19.6°Blg,5d7d35a0-552c-4cd5-a508-b16d3c1436e4,2026-03-05 09:25:34
Budweiser,Lager,Wheat Beer,Millennium,W34/70 - Lager,Munich,60 IBU,9.1%,11.4°Blg,f07a0430-538b-49b9-8bf4-30a5d27b2a2a,2026-03-05 09:25:34
Carlsberg,Porter,Strong Ale,Millennium,1056 - American Ale,Caramel,46 IBU,9.9%,11.0°Blg,91509fda-5377-41f5-97d9-42b0ad072705,2026-03-05 09:25:34
Guinness,Imperial Stout,Wheat Beer,Mosaic,S04 - English Ale,Chocolate,41 IBU,6.0%,11.2°Blg,e3f76a64-65de-462a-b1e5-f980f1d9f967,2026-03-05 09:25:34
Budweiser,Porter,Belgian Dubbel,Galaxy,1056 - American Ale,Pilsner,45 IBU,4.5%,10.0°Blg,19a477dc-0c50-495f-9e73-c134ea3086e7,2026-03-05 09:25:34
Brewdog,Lager,Session IPA,Saaz,1388 - Belgian Strong Ale,Chocolate,66 IBU,4.4%,12.9°Blg,b7bf516d-1f00-4a8c-bb89-11d3cf67fecb,2026-03-05 09:25:34
Carlsberg,Imperial Stout,Session IPA,Millennium,1056 - American Ale,Chocolate,31 IBU,7.0%,14.9°Blg,271fa719-550f-4e88-be7c-7b0fdd2405d7,2026-03-05 09:25:34
Heineken,Pale Ale,Wheat Beer,Saaz,S04 - English Ale,Munich,20 IBU,8.1%,15.7°Blg,3d5a3d97-3803-48dd-b688-1fe8fa1d7513,2026-03-05 09:25:34
Heineken,Pale Ale,Strong Ale,Millennium,1388 - Belgian Strong Ale,Caramel,26 IBU,4.9%,11.7°Blg,d6d2b6eb-89e5-4532-850f-d9cc95abe6fe,2026-03-05 09:25:34
Guinness,Pilsner,Session IPA,Mosaic,W34/70 - Lager,Victory,69 IBU,5.0%,16.3°Blg,f867aafd-8ac4-4993-974b-03322f0878d9,2026-03-05 09:25:34
Budweiser,Pilsner,Strong Ale,Mosaic,S04 - English Ale,Caramel,52 IBU,6.6%,16.9°Blg,f5d85e77-c55e-4d6c-8013-ef6fe2556585,2026-03-05 09:25:34
Guinness,Porter,Belgian Dubbel,Saaz,S04 - English Ale,Victory,54 IBU,5.9%,16.6°Blg,cab3ec9f-c838-46ab-ba70-0177beb43f86,2026-03-05 09:25:34
Budweiser,Pale Ale,Belgian Dubbel,Cascade,WLP001 - California Ale,Munich,51 IBU,7.1%,16.6°Blg,eace12c6-83ea-491e-8177-49cfddc4c05c,2026-03-05 09:25:34
Budweiser,Porter,Sour Ale,Cascade,1056 - American Ale,Chocolate,67 IBU,5.9%,11.7°Blg,f57aa759-2da4-4703-b760-8ac3de1fc2ea,2026-03-05 09:25:34
Budweiser,Pilsner,Belgian Dubbel,Mosaic,W34/70 - Lager,Munich,68 IBU,9.7%,13.8°Blg,31ca5223-1bfc-4f1a-a126-f7c531b7f761,2026-03-05 09:25:34
Heineken,Porter,Session IPA,Cascade,1388 - Belgian Strong Ale,Pilsner,45 IBU,4.5%,14.4°Blg,020f869a-d843-4783-b296-209cc8afaae0,2026-03-05 09:25:34
Carlsberg,Lager,Belgian Dubbel,Saaz,1388 - Belgian Strong Ale,Chocolate,67 IBU,5.1%,19.8°Blg,ce9c0175-4126-4c07-8dac-cabe4e147eb6,2026-03-05 09:25:34
Carlsberg,Porter,Session IPA,Mosaic,W34/70 - Lager,Victory,47 IBU,7.7%,13.3°Blg,60ab5ad7-933d-4177-a33a-986144d441c2,2026-03-05 09:25:34
Guinness,Porter,Wheat Beer,Millennium,WLP001 - California Ale,Pilsner,51 IBU,6.6%,11.5°Blg,70c0d30b-eee5-46e6-be5d-fafce2891380,2026-03-05 09:25:34
Heineken,Lager,Strong Ale,Millennium,S04 - English Ale,Munich,37 IBU,6.3%,20.0°Blg,ba46ad84-8404-49b6-8b11-064cc8fa43fb,2026-03-05 09:25:34
Carlsberg,Imperial Stout,Belgian Dubbel,Saaz,1388 - Belgian Strong Ale,Chocolate,23 IBU,8.8%,10.7°Blg,b21ed9ee-0658-407f-8982-ec146d1bd162,2026-03-05 09:25:34
Guinness,Imperial Stout,Strong Ale,Galaxy,S04 - English Ale,Caramel,38 IBU,7.0%,12.3°Blg,2539b81d-840f-459a-9577-766b8c902683,2026-03-05 09:25:34
Budweiser,Imperial Stout,Belgian Dubbel,Cascade,W34/70 - Lager,Munich,26 IBU,9.7%,20.0°Blg,c1789273-df4e-4eae-9e18-3738dfc3f892,2026-03-05 09:25:34
Carlsberg,Porter,Strong Ale,Galaxy,S04 - English Ale,Chocolate,63 IBU,8.1%,17.2°Blg,873a55c4-29aa-4bcb-a7a5-6d754a7e9a15,2026-03-05 09:25:34
Carlsberg,Lager,Strong Ale,Cascade,W34/70 - Lager,Chocolate,21 IBU,5.6%,17.9°Blg,b8aec32b-29e1-473f-9249-2e0844017bf0,2026-03-05 09:25:34
Heineken,Pilsner,Strong Ale,Millennium,1388 - Belgian Strong Ale,Victory,70 IBU,9.3%,12.8°Blg,71cc73be-5938-4b80-a194-93486782b533,2026-03-05 09:25:34
Guinness,Pilsner,Strong Ale,Mosaic,1388 - Belgian Strong Ale,Munich,56 IBU,7.2%,18.7°Blg,ecfdb1fc-7219-446d-bad2-f1f31853fb74,2026-03-05 09:25:34
Guinness,Lager,Strong Ale,Cascade,1056 - American Ale,Victory,29 IBU,5.6%,18.1°Blg,5598f67d-c0c5-4589-98f5-19edde1f8351,2026-03-05 09:25:34
Heineken,Pilsner,Sour Ale,Cascade,1056 - American Ale,Pilsner,54 IBU,8.3%,14.8°Blg,505947a5-61ca-46d5-983b-9a1399c2f4a1,2026-03-05 09:25:34
Carlsberg,Porter,Strong Ale,Galaxy,S04 - English Ale,Chocolate,44 IBU,6.4%,13.3°Blg,f9b5fcab-6126-4257-8c61-99ce6456fe5c,2026-03-05 09:25:34
Heineken,Pale Ale,Session IPA,Saaz,S04 - English Ale,Victory,27 IBU,8.9%,17.4°Blg,4b6c8681-84fb-491b-91bd-7dd1a130c4ae,2026-03-05 09:25:34
Brewdog,Lager,Belgian Dubbel,Mosaic,S04 - English Ale,Victory,52 IBU,8.2%,11.0°Blg,b17a05ab-dc08-4b18-96f5-14d1cfc70a5f,2026-03-05 09:25:34
Guinness,Pilsner,Belgian Dubbel,Millennium,W34/70 - Lager,Caramel,33 IBU,8.8%,12.8°Blg,3e274119-c9c9-40c8-b866-b4e1eec3f7a9,2026-03-05 09:25:34
Guinness,Pale Ale,Sour Ale,Millennium,1388 - Belgian Strong Ale,Caramel,25 IBU,7.9%,17.2°Blg,d21582f4-c20d-48d4-8153-85360cccbe43,2026-03-05 09:25:34
Brewdog,Pilsner,Sour Ale,Cascade,S04 - English Ale,Caramel,20 IBU,4.6%,11.9°Blg,ab918721-33d2-4bca-9861-7ebe4914eaee,2026-03-05 09:25:34
Heineken,Lager,Sour Ale,Mosaic,W34/70 - Lager,Pilsner,20 IBU,4.8%,12.8°Blg,1dc29fbf-8bc5-46df-b60b-41c2d4db3e72,2026-03-05 09:25:34
Guinness,Pilsner,Session IPA,Cascade,WLP001 - California Ale,Caramel,64 IBU,4.9%,19.2°Blg,049d3928-f728-4003-bf1e-336f64337ff1,2026-03-05 09:25:34
Heineken,Pilsner,Session IPA,Cascade,1388 - Belgian Strong Ale,Pilsner,46 IBU,6.3%,17.7°Blg,8a46eaea-e117-4b70-ac7e-d47c81e86959,2026-03-05 09:25:34
Carlsberg,Porter,Sour Ale,Saaz,1056 - American Ale,Victory,50 IBU,4.2%,19.2°Blg,0416f607-2efb-4e52-86cf-b39c1d8df9d8,2026-03-05 09:25:34
Heineken,Pilsner,Session IPA,Mosaic,WLP001 - California Ale,Caramel,55 IBU,4.7%,15.1°Blg,87e28d49-3f8b-43ce-9fbb-da16f1bed017,2026-03-05 09:25:34
Carlsberg,Pilsner,Session IPA,Galaxy,1388 - Belgian Strong Ale,Pilsner,31 IBU,9.7%,13.8°Blg,cea0317b-341c-4e75-a741-6e048ab1fc5a,2026-03-05 09:25:34
Budweiser,Lager,Session IPA,Millennium,1388 - Belgian Strong Ale,Munich,42 IBU,4.6%,19.4°Blg,ebcf7e09-326f-4217-9d0c-f3969dcbcd92,2026-03-05 09:25:34
Heineken,Imperial Stout,Wheat Beer,Millennium,1056 - American Ale,Pilsner,54 IBU,6.6%,11.0°Blg,5d8871e8-f732-4f71-8d18-2b7d553e81de,2026-03-05 09:25:34
Budweiser,Imperial Stout,Wheat Beer,Mosaic,WLP001 - California Ale,Victory,30 IBU,7.4%,19.8°Blg,12f83d49-ff28-4225-ae59-c4c6c4dd7588,2026-03-05 09:25:34
Budweiser,Lager,Belgian Dubbel,Galaxy,1388 - Belgian Strong Ale,Pilsner,37 IBU,7.7%,17.3°Blg,ce48dd08-b7a5-4650-a3c9-9960750f89f9,2026-03-05 09:25:34
Budweiser,Porter,Belgian Dubbel,Galaxy,1388 - Belgian Strong Ale,Victory,20 IBU,9.4%,17.6°Blg,b939041f-3259-4252-ba0c-5ae63f62b5b3,2026-03-05 09:25:34
Guinness,Lager,Strong Ale,Cascade,WLP001 - California Ale,Caramel,23 IBU,7.9%,12.2°Blg,5198b6b5-c756-4b44-bd8b-b24ed8d37e02,2026-03-05 09:25:34
Carlsberg,Pale Ale,Session IPA,Saaz,WLP001 - California Ale,Caramel,42 IBU,5.7%,15.0°Blg,435eae9e-0f78-475a-b995-85205f6e79e4,2026-03-05 09:25:34
Guinness,Porter,Session IPA,Mosaic,1388 - Belgian Strong Ale,Chocolate,47 IBU,9.9%,17.3°Blg,7e7a7fde-dfed-4ea8-a61d-2e3a52e42532,2026-03-05 09:25:34
Budweiser,Lager,Wheat Beer,Mosaic,WLP001 - California Ale,Victory,45 IBU,7.0%,17.9°Blg,a40a5a2f-214d-40f7-a58c-a77eb2afda89,2026-03-05 09:25:34
Budweiser,Lager,Sour Ale,Galaxy,1388 - Belgian Strong Ale,Victory,34 IBU,6.5%,19.0°Blg,4c2e3d57-8c0c-434a-af78-2a037c15be09,2026-03-05 09:25:34
Guinness,Lager,Belgian Dubbel,Millennium,1388 - Belgian Strong Ale,Pilsner,24 IBU,5.4%,13.6°Blg,b2c2245f-bfff-4243-b7e6-6167f8cc686d,2026-03-05 09:25:34
Guinness,Pilsner,Sour Ale,Millennium,1388 - Belgian Strong Ale,Caramel,55 IBU,5.7%,14.5°Blg,f21f0ac8-28e1-44ae-8be3-7a49e90cb732,2026-03-05 09:25:34
Guinness,Lager,Belgian Dubbel,Mosaic,S04 - English Ale,Pilsner,67 IBU,7.3%,10.6°Blg,99ffa9a6-9e32-45a9-b9be-b729cc74c4c3,2026-03-05 09:25:34
Brewdog,Imperial Stout,Sour Ale,Cascade,W34/70 - Lager,Chocolate,69 IBU,4.8%,12.4°Blg,3cb7a6e2-2d3b-4c27-bcc3-75d770dce77d,2026-03-05 09:25:34
Heineken,Pale Ale,Belgian Dubbel,Mosaic,S04 - English Ale,Victory,38 IBU,4.0%,15.6°Blg,4b97b05d-a86c-4bc7-a05a-378d10d844f0,2026-03-05 09:25:34
Heineken,Imperial Stout,Belgian Dubbel,Cascade,W34/70 - Lager,Chocolate,32 IBU,4.8%,16.7°Blg,70f3263f-db48-45f1-8eb6-20703116172d,2026-03-05 09:25:34
Heineken,Porter,Strong Ale,Millennium,S04 - English Ale,Chocolate,26 IBU,5.8%,17.8°Blg,370d408b-d241-4e9f-aa8a-0b5e4920b278,2026-03-05 09:25:34
Heineken,Pilsner,Belgian Dubbel,Cascade,1056 - American Ale,Munich,40 IBU,7.6%,10.6°Blg,2be3a2b5-6c65-4014-802f-b99b760f35a1,2026-03-05 09:25:34
Heineken,Pale Ale,Sour Ale,Mosaic,1056 - American Ale,Victory,50 IBU,6.6%,18.5°Blg,6b96d9dd-4c3e-4d85-adff-25e471f7c6e5,2026-03-05 09:25:34
Budweiser,Lager,Session IPA,Mosaic,WLP001 - California Ale,Munich,27 IBU,6.0%,18.3°Blg,81b80184-9f3e-4863-b302-778b9a800984,2026-03-05 09:25:34
Brewdog,Porter,Strong Ale,Saaz,WLP001 - California Ale,Munich,22 IBU,5.3%,18.4°Blg,b58d8c47-b627-458f-bbd6-bc888ee21ff7,2026-03-05 09:25:34
