brand,name,style,hop,yeast,malts,ibu,alcohol,blg,user_id
Heineken,Pale Ale,Wheat Beer,Saaz,S04 - English Ale,Caramel,20 IBU,6.4%,17.9°Blg,568bff29-540c-47b9-bf04-f312c690db9e
Heineken,Porter,Sour Ale,Millennium,1056 - American Ale,Victory,33 IBU,6.9%,14.5°Blg,706f8888-eda7-4d14-b706-6a40babc726b
Heineken,Porter,Session IPA,Cascade,1388 - Belgian Strong Ale,Caramel,33 IBU,8.3%,16.6°Blg,98388fe6-55e9-4ba9-865f-b8c2ca280e26
Brewdog,Lager,Session IPA,Saaz,WLP001 - California Ale,Caramel,22 IBU,5.4%,11.8°Blg,0de055a5-c768-496d-8eed-23d488ec24d3
Guinness,Porter,Wheat Beer,Saaz,1388 - Belgian Strong Ale,Chocolate,51 IBU,6.3%,11.4°Blg,5ed47a74-af32-487a-83b5-e53deb74e228
Brewdog,Pilsner,Strong Ale,Galaxy,S04 - English Ale,Caramel,42 IBU,6.2%,12.3°Blg,81ceee71-171e-4183-b14f-a085999b95cf
Budweiser,Pale Ale,Strong Ale,Millennium,1056 - American Ale,Pilsner,51 IBU,9.1%,19.6°Blg,2961e5d3-bf91-40e6-807d-0bfa497bc25f
Budweiser,Pale Ale,Sour Ale,Saaz,W34/70 - Lager,Pilsner,55 IBU,6.1%,12.9°Blg,4086dfd4-02ef-4ba7-94ea-9dc879c99a99
Brewdog,Lager,Wheat Beer,Millennium,W34/70 - Lager,Victory,40 IBU,6.3%,11.4°Blg,704ec9e4-532c-4982-9cb5-1ee52d53043b
Heineken,Pale Ale,Strong Ale,Cascade,S04 - English Ale,Pilsner,30 IBU,8.2%,19.6°Blg,7177d7de-ac7f-49cc-b215-06190d603c7e
Heineken,Porter,Belgian Dubbel,Cascade,1056 - American Ale,Pilsner,67 IBU,8.7%,16.2°Blg,c94bb83b-46f8-411f-b7eb-516121c47e44
Budweiser,Imperial Stout,Sour Ale,Millennium,WLP001 - California Ale,Caramel,37 IBU,4.7%,12.0°Blg,af7dccd9-1c2c-4c07-987a-5349ae6afd39
Brewdog,Imperial Stout,Session IPA,Millennium,1056 - American Ale,Victory,51 IBU,5.4%,17.9°Blg,6329ec56-4b89-482c-92c4-9309ab0bd1fe
Guinness,Lager,Strong Ale,Saaz,WLP001 - California Ale,Chocolate,69 IBU,9.5%,17.2°Blg,749247e9-a474-43ad-9025-b26324585d83
Guinness,Imperial Stout,Belgian Dubbel,Mosaic,W34/70 - Lager,Chocolate,33 IBU,9.5%,14.6°Blg,26b9e010-4a76-41a3-af42-580948c44418
Heineken,Imperial Stout,Sour Ale,Galaxy,1056 - American Ale,Victory,23 IBU,6.9%,11.5°Blg,78705796-0489-4697-b513-0965f3602263
Budweiser,Pale Ale,Session IPA,Galaxy,WLP001 - California Ale,Chocolate,46 IBU,6.1%,14.5°Blg,d5f2eb11-0713-4768-9d20-de503cbee934
Brewdog,Imperial Stout,Belgian Dubbel,Galaxy,WLP001 - California Ale,Chocolate,64 IBU,5.0%,16.9°Blg,1fff39de-b264-4133-ae53-a3dc0427cbf5
Guinness,Pilsner,Wheat Beer,Cascade,1388 - Belgian Strong Ale,Pilsner,56 IBU,4.1%,12.0°Blg,a1372524-b62d-4702-b699-bea67cea9ec4
Carlsberg,Pale Ale,Strong Ale,Cascade,WLP001 - California Ale,Munich,48 IBU,8.0%,14.1°Blg,113eb2a1-0b23-414b-8a66-0c044d14c874
Carlsberg,Porter,Belgian Dubbel,Galaxy,W34/70 - Lager,Pilsner,68 IBU,4.6%,16.1°Blg,bd715ea6-579e-4994-bf9a-9d385f8d2fc1
Guinness,Imperial Stout,Strong Ale,Saaz,W34/70 - Lager,Caramel,23 IBU,6.7%,11.4°Blg,886c3c98-f5d1-4075-9a56-7bc26eff3175
Heineken,Lager,Sour Ale,Millennium,S04 - English Ale,Munich,60 IBU,4.0%,15.6°Blg,09f33338-6958-49fe-ac2d-873988b65737
Heineken,Pilsner,Strong Ale,Cascade,1388 - Belgian Strong Ale,Pilsner,41 IBU,7.7%,17.4°Blg,6e196d9d-ce4e-4249-a92f-11b470ccb5bd
Brewdog,Porter,Strong Ale,Galaxy,S04 - English Ale,Caramel,22 IBU,5.6%,15.0°Blg,8139f451-a0ae-4b44-b761-57b63d1edfb6
Budweiser,Porter,Belgian Dubbel,Galaxy,S04 - English Ale,Pilsner,40 IBU,8.2%,14.1°Blg,d9d7cc0e-602c-4c2b-9a31-6bd88181be44
Budweiser,Pale Ale,Strong Ale,Millennium,1388 - Belgian Strong Ale,Caramel,23 IBU,5.8%,17.5°Blg,2990b7c1-a8b5-4183-839e-0decf8b2f005
Brewdog,Porter,Wheat Beer,Millennium,S04 - English Ale,Pilsner,31 IBU,9.8%,12.5°Blg,c21ad10f-9ac9-4293-a1e6-bb399a209537
Heineken,Porter,Strong Ale,Mosaic,W34/70 - Lager,Munich,54 IBU,6.3%,17.5°Blg,1ca68ca4-56d5-4b56-bf78-c89044511b72
Carlsberg,Lager,Session IPA,Millennium,1056 - American Ale,Munich,65 IBU,9.0%,15.6°Blg,ae5c5d83-c628-4d28-a7ab-a5e163ae3a67
Brewdog,Porter,Strong Ale,Saaz,W34/70 - Lager,Chocolate,65 IBU,8.3%,18.3°Blg,6f5a6928-5f8f-4a8c-a147-04721d24135b
Heineken,Porter,Sour Ale,Millennium,W34/70 - Lager,Pilsner,47 IBU,9.6%,19.0°Blg,703326fa-4ad9-459b-99e6-1508ae2b84c2
Heineken,Lager,Strong Ale,Saaz,WLP001 - California Ale,Victory,57 IBU,7.9%,11.6°Blg,bfa3979f-e22e-4535-92fc-247ba46ab491
Guinness,Pale Ale,Wheat Beer,Saaz,S04 - English Ale,Victory,53 IBU,5.4%,18.0°Blg,4682679c-ce2d-470b-ace3-a6b88e9cae85
Brewdog,Pale Ale,Sour Ale,Cascade,S04 - English Ale,Pilsner,22 IBU,7.9%,10.7°Blg,7067c51e-70a5-4840-840d-0c0ed4c392b2
Guinness,Porter,Session IPA,Galaxy,1388 - Belgian Strong Ale,Munich,32 IBU,7.6%,16.8°Blg,b0d6c280-7505-49ee-904d-d1092f21e766
Budweiser,Porter,Wheat Beer,Mosaic,1056 - American Ale,Caramel,54 IBU,6.4%,11.3°Blg,06bf4d3e-3176-499b-9bfd-f32740eda5bf
Guinness,Porter,Wheat Beer,Galaxy,1388 - Belgian Strong Ale,Chocolate,68 IBU,9.2%,18.6°Blg,bde3ae6a-661c-4e4d-bfe5-8cd1c65bbde0
Budweiser,Pale Ale,Wheat Beer,Saaz,WLP001 - California Ale,Munich,30 IBU,7.6%,11.5°Blg,1bceb9cc-7374-4ffd-8a83-c38f0b086462
Heineken,Porter,Wheat Beer,Saaz,1388 - Belgian Strong Ale,Victory,23 IBU,7.8%,15.9°Blg,86e1ad83-5406-462a-a218-eb9c0387e389
Budweiser,Pale Ale,Session IPA,Saaz,WLP001 - California Ale,Munich,61 IBU,4.9%,13.7°Blg,f900cc36-16a4-4ce0-8bc3-f2521b2de1a5
Guinness,Pilsner,Session IPA,Mosaic,S04 - English Ale,Munich,49 IBU,4.5%,13.8°Blg,d5a98ca5-9a49-42bc-9fc8-41536275e817
Budweiser,Porter,Belgian Dubbel,Saaz,1388 - Belgian Strong Ale,Caramel,65 IBU,4.1%,12.6°Blg,f60ab51b-b22e-4ee5-b6ea-d252deeb4aff
Guinness,Lager,Session IPA,Saaz,S04 - English Ale,Victory,26 IBU,7.1%,10.8°Blg,12368214-1070-4a9b-a0d1-fb75ef0643f5
Brewdog,Imperial Stout,Wheat Beer,Cascade,1056 - American Ale,Chocolate,55 IBU,7.2%,17.6°Blg,de77568f-9296-4715-ae5b-6eba3a403218
Carlsberg,Imperial Stout,Session IPA,Mosaic,WLP001 - California Ale,Pilsner,53 IBU,4.5%,10.7°Blg,28050e9f-bc4c-4fd8-a6cf-b778c2f2a85e
Carlsberg,Porter,Belgian Dubbel,Saaz,1388 - Belgian Strong Ale,Caramel,60 IBU,6.9%,18.1°Blg,dd3ff1e6-19a6-49c2-a6d4-2f77ca7fd338
Carlsberg,Lager,Sour Ale,Mosaic,S04 - English Ale,Victory,49 IBU,8.7%,11.3°Blg,edc8bb86-1c9f-4a4b-8441-5404e01b8f57
Carlsberg,Pale Ale,Session IPA,Saaz,W34/70 - Lager,Victory,65 IBU,7.5%,11.6°Blg,477b42c2-0655-464b-9a5c-8cc89ee2f625
Budweiser,Porter,Wheat Beer,Saaz,1388 - Belgian Strong Ale,Munich,56 IBU,6.5%,17.1°Blg,56c5a893-1732-47a4-9c35-a900eaa216f9
Budweiser,Pale Ale,Wheat Beer,Saaz,S04 - English Ale,Caramel,38 IBU,8.0%,15.0°Blg,4b391fa1-534e-46d8-b736-79483ddaff5b
Guinness,Lager,Strong Ale,Millennium,1056 - American Ale,Munich,20 IBU,6.3%,17.9°Blg,cd7bb2eb-2aa3-4389-ba1c-83615ea89a0e
Heineken,Pale Ale,Session IPA,Galaxy,WLP001 - California Ale,Victory,54 IBU,5.9%,14.1°Blg,a2680863-d510-41a2-b1ef-4d6d3321f983
Guinness,Lager,Session IPA,Cascade,W34/70 - Lager,Munich,30 IBU,8.8%,12.2°Blg,5f219ad2-8173-444a-bcbc-3f08fa60501d
Heineken,Lager,Sour Ale,Cascade,WLP001 - California Ale,Caramel,31 IBU,6.3%,16.8°Blg,523a8407-2604-4ad2-94d8-4cb25ea6344b
Heineken,Imperial Stout,Session IPA,Saaz,1388 - Belgian Strong Ale,Pilsner,67 IBU,9.0%,13.3°Blg,6eb0224a-a94b-43c0-8124-ec84b0d594f6
Carlsberg,Pale Ale,Session IPA,Millennium,W34/70 - Lager,Caramel,50 IBU,5.2%,16.7°Blg,f29f2ff3-6838-4ecc-8d0d-417180d24b57
Brewdog,Lager,Session IPA,Millennium,1388 - Belgian Strong Ale,Pilsner,68 IBU,6.3%,19.4°Blg,577a9b0a-b27b-4450-8112-d340761192d8
Guinness,Lager,Belgian Dubbel,Galaxy,S04 - English Ale,Munich,39 IBU,5.3%,10.8°Blg,408b9a52-345a-4c33-868c-c84b7c3e799c
Brewdog,Imperial Stout,Session IPA,Galaxy,1056 - American Ale,Munich,51 IBU,4.4%,11.3°Blg,5c188abc-cc87-45c0-b98e-bcfacb81944a
Heineken,Porter,Belgian Dubbel,Galaxy,1056 - American Ale,Caramel,40 IBU,7.4%,13.7°Blg,0337ec9f-f54a-4acd-86e6-7e43f46a1466
Carlsberg,Pale Ale,Strong Ale,Saaz,S04 - English Ale,Chocolate,58 IBU,5.9%,19.7°Blg,53415a3b-618b-40bb-8367-618695f619ed
Brewdog,Imperial Stout,Sour Ale,Cascade,W34/70 - Lager,Victory,24 IBU,8.8%,19.1°Blg,59c38f5d-a278-4410-b0cc-37d51f73184e
Guinness,Pale Ale,Wheat Beer,Cascade,1056 - American Ale,Caramel,39 IBU,7.1%,10.7°Blg,978a7ad3-4268-41cc-beba-26e63da85531
Guinness,Pale Ale,Belgian Dubbel,Cascade,1056 - American Ale,Victory,36 IBU,4.3%,12.6°Blg,f1f7fd25-5eb1-42aa-99fb-b4bc3e08a662
Brewdog,Pale Ale,Sour Ale,Millennium,WLP001 - California Ale,Victory,50 IBU,9.0%,11.7°Blg,509db23e-1bbb-4896-b041-6d28e249f9c0
Budweiser,Pale Ale,Wheat Beer,Millennium,1056 - American Ale,Caramel,50 IBU,6.5%,16.1°Blg,5456195f-f2f2-418a-83e0-69db714bb334
Heineken,Lager,Sour Ale,Millennium,WLP001 - California Ale,Caramel,50 IBU,9.2%,15.0°Blg,19021fb4-ec44-42fc-b6f2-ea7c1ac7caab
Budweiser,Porter,Session IPA,Cascade,WLP001 - California Ale,Munich,38 IBU,7.5%,10.9°Blg,7c4d2d35-ac4f-4f41-9a03-427c8e66764b
Budweiser,Pale Ale,Wheat Beer,Saaz,1388 - Belgian Strong Ale,Chocolate,47 IBU,4.3%,17.4°Blg,ba84ea30-88fc-4ffe-b7bb-93a646e1e30b
Guinness,Pilsner,Strong Ale,Cascade,1388 - Belgian Strong Ale,Pilsner,21 IBU,6.4%,19.3°Blg,9629a859-58c6-45a3-9bc1-04005ee967c0
Brewdog,Imperial Stout,Belgian Dubbel,Millennium,W34/70 - Lager,Munich,21 IBU,4.8%,10.0°Blg,a0db50a9-50b1-49ef-9970-8e3acebb5038
Budweiser,Imperial Stout,Belgian Dubbel,Saaz,W34/70 - Lager,Munich,36 IBU,9.7%,11.9°Blg,9913c122-4d0a-4cf1-acf4-cf454bc47c67
